RemakeVoiceID,RemakeScenaScriptFilename,RemakeScenaScriptLineno,RemakeScenaScriptAddStructLineno,RemakeScenaScriptTranslationLineno,RemakeScenaScriptTranslationAddStructLineno,OldScriptId,OldVoiceFilename,MatchType,RemakeVoiceCategory,RemakeVoiceTranslation,RemakeVoiceText,OldVoiceText
89295,mp4010_05,2933,2260,4248,,,,unmatched,evo,请您先去游击士协会吧。,女王さまの元気な姿を見ることができてほっとしたわ。,
89296,mp4010_05,2935,2272,4251,,,,unmatched,evo,知道了。,親衛隊への疑惑も濡れ衣だったみたいだし……,
89297,mp4010_05,2937,2308,4254,,,,unmatched,evo,那我就先走一步。,色々あったけどこれで落ち着いて暮らせそうね。,
89298,mp4010_05,2945,2308,2933,,,,unmatched,evo,看到女王陛下健康的样子，我就放心了。,色々あったけどこれで落ち着いて暮らせそうね。,
89299,mp4010_05,2957,2332,2935,,,,unmatched,evo,亲卫队似乎只是被人嫁祸了而已……,この兵士さんたちも状況がよく分かってないみたいよ。,
89300,mp4010_05,2959,2344,2937,,,,unmatched,evo,虽然发生了许多事情，但现在终于可以平静地生活了。,何が起きてるのかなんてわたしたちが分かるわけないわよ。,
89301,mp4010_05,2968,2368,2945,,,,unmatched,evo,虽然发生了许多事情，但现在终于可以平静地生活了。,武術大会が終わったのに兵士の数は一向に減らないわね。,
89302,mp4010_05,2970,2380,2957,,,,unmatched,evo,这几位士兵好像也对不太清楚现在的状况。,親衛隊の人たちがテロ事件を起こしたってのはやっぱり本当の話だったのかな……,
89303,mp4010_05,2979,2404,2959,,,,unmatched,evo,不过到底发生了什么事情，我们也不可能清楚啊。,今日はオリビエさんが来ないわね。,
89304,mp4010_05,2981,2416,2968,,,,unmatched,evo,虽然武术大会结束了，但士兵的数量一点都不见少啊。,優勝したって聞いたからお祝いしてあげようと思ってたのに。,
89305,mp4010_05,2990,2440,2970,,,,unmatched,evo,亲卫队的人策划了恐怖袭击的说法果然是真的啊……,あーあ、私も試合をアリーナまで見に行きたいな。,
89306,mp4010_05,2992,2452,2979,,,,unmatched,evo,奥利维尔先生今天没有来啊。,こういう仕事って人が遊んでる時ほど働かないといけないのよね。,
89307,mp4010_05,3001,2476,2981,,,,unmatched,evo,听说他们获得了冠军，本来想特地庆贺一下的。,さっき、王国軍の人が来て店の営業は９時までにしろって言われちゃったのよ。,
89308,mp4010_05,3003,2488,2990,,,,unmatched,evo,啊～我也想去竞技场看比赛。,あーあ、せっかくのかきいれ時なのになぁ。,
89309,mp4010_05,3005,2500,2992,,,,unmatched,evo,干我们这种工作，越是在其他人玩乐的时候就越是忙碌。,９時に閉店する酒場なんて看板倒れもいいところよねぇ。,
89310,mp4010_05,3014,2524,3001,,,,unmatched,evo,王国军的人刚才来了，说只能营业到晚上九点。,オリビエさんたちは今日も試合に出るんでしょ？,
89311,mp4010_05,3016,2536,3003,,,,unmatched,evo,唉～难得最近的生意那么好。,今年はひいきの親衛隊も出ていないしかわりに応援してあげるわ。,
89312,mp4010_05,3025,2560,3005,,,,unmatched,evo,九点就关门，那还开什么酒馆啊。,１日目の試合が終わったみたいね。,
89313,mp4010_05,3027,2572,3014,,,,unmatched,evo,奥利维尔先生，你们今天要参加武术大会吧？,結果はどうだったのかしら……,
89314,mp4010_05,3040,2608,3016,,,,unmatched,evo,我往年支持的亲卫队今年不能来参加，所以就给你们加油吧。,あのお客さんは『夜風に当たりたい』って南の方に向かっていったわね。,
89315,mp4010_05,3042,2620,3025,,,,unmatched,evo,第一天的比赛好像已经结束了。,店を出てからは分からないわ。力になれなくてごめんなさいね。,
89316,mp4010_05,3054,2662,3027,,,,unmatched,evo,结果究竟如何呢……,あら、オリビエさん。昨日ぶつけた頭は大丈夫？,
89317,mp4010_05,3058,2680,3040,,,,unmatched,evo,那位客人说“想吹吹晚风”就往南边去了。,ハッハッハッ、見ての通りだよ。,
89318,mp4010_05,3063,2686,3042,,,,unmatched,evo,他离店之后的去向我就不清楚了。很抱歉帮不上忙。,ハッハッハッ、見ての通りだよ。,
89319,mp4010_05,3070,2704,3054,,,,unmatched,evo,哎呀，奥利维尔先生，昨天撞到的头没事了吗？,この世に愛がある限りボクの熱きハートビートは永遠という時を刻み続けるのさ。,
89320,mp4010_05,3075,2710,3058,,,,unmatched,evo,哈哈哈，正如你所见。,この世に愛がある限りボクの熱きハートビートは永遠という時を刻み続けるのさ。,
89321,mp4010_05,3080,2722,3063,,,,unmatched,evo,哈哈哈，正如你所见。,うん、大丈夫みたいね。,
89322,mp4010_05,3088,2746,3070,,,,unmatched,evo,只要世界上还有真爱，我那炽热的心跳就会持续到永远。,皆さんはオリビエさんのお友達？,
89323,mp4010_05,3090,2758,3075,,,,unmatched,evo,只要世界上还有真爱，我那炽热的心跳就会持续到永远。,試合のほう、頑張ってね。,
89324,mp4010_05,3102,2782,3080,,,,unmatched,evo,嗯，看来是没问题了。,あら……よく見たら演奏をお願いしているオリビエさんじゃない。,
89325,mp4010_05,3104,2794,3088,,,,unmatched,evo,你们都是奥利维尔先生的朋友吗？,また、しつこく女性に声かけて張り飛ばされたのかしら……,
89326,mp4010_05,3113,2818,3090,,,,unmatched,evo,比赛要加油哦。,大会の予選が終わったみたいね。急にお客さんたちが増えたもの。,
89327,mp4010_05,3124,2896,3102,,,,unmatched,evo,哎呀……仔细一看，这不是曾在这里演奏的奥利维尔先生吗。,親衛隊の人たちがテロリストだなんて信じられないんだけどな。,
89328,mp4010_05,3126,2860,3104,,,,unmatched,evo,又是因为对女性纠缠不休而被打飞的吗……,少なくともここに来る人たちはみんな誠実な人柄だったわ。,
89329,mp4010_05,3128,2908,3113,,,,unmatched,evo,大会的预赛好像已经结束了。这里客人立刻多了起来。,何かの間違いじゃないかなぁ……,
89330,mp4010_05,3136,2896,3124,,,,unmatched,evo,说亲卫队的人是恐怖分子，我实在是不相信。,親衛隊の人たちがテロリストだなんて信じられないんだけどな。,
89331,mp4010_05,3138,2908,3126,,,,unmatched,evo,至少来这里的亲卫队队员都是诚实正直的人。,何かの間違いじゃないかなぁ……,
89332,mp4010_05,3853,3216,3128,,,,unmatched,evo,肯定是搞错了……,まさか、リシャール大佐がクーデターを企んでいたなんてなぁ。,
89333,mp4010_05,3855,3180,3136,,,,unmatched,evo,说亲卫队的人是恐怖分子，叫我怎么信啊。,雑誌のインタビューでもすごくいいこと言ってたのにあれも全て建て前だったのかぁ……,
89334,mp4010_05,3857,3192,3138,,,,unmatched,evo,肯定是哪里搞错了……,そう思うとショックだよ。,
89335,mp4010_05,3865,3216,3853,,,,unmatched,evo,竟然是理查德上校策动的这起政变。,まさか、リシャール大佐がクーデターを企んでいたなんてなぁ。,
89336,mp4010_05,3867,3228,3855,,,,unmatched,evo,以前接受杂志的访谈说的那些了不起的话，也只是表面文章而已吗……,雑誌のインタビューでもすごくいいこと言ってたのにあれも全て建て前だったのかなぁ……,
89337,mp4010_05,3879,3252,3857,,,,unmatched,evo,一想起来就觉得震惊。,街中に黒い兵士がいるんだ。,
89338,mp4010_05,3881,3264,3865,,,,unmatched,evo,竟然是理查德上校策动的这起政变。,何でいつもの兵士たちと交代させたんだろうね？,
89339,mp4010_05,3890,3288,3867,,,,unmatched,evo,以前接受杂志的访谈说的那些了不起的话，也只是表面文章而已吗……,生誕祭が近いんだからそろそろ王城から何らかの発表があってもよさそうなのにね。,
89340,mp4010_05,3892,3300,3879,,,,unmatched,evo,街上全是黑衣士兵。,このまま中止なのかなぁ……,
89341,mp4010_05,3901,3324,3881,,,,unmatched,evo,为什么要把以往的那些士兵们替换掉呢？,大会は終わったっていうのに兵士たちの数は全然減らないんだ。,
89342,mp4010_05,3903,3336,3890,,,,unmatched,evo,诞生庆典马上就到了，王城里面如果能快点发布公告就好了。,女王さまの病気といい何だかイヤになっちゃうなぁ。,
89343,mp4010_05,3914,3414,3892,,,,unmatched,evo,不要这样中止啊……,昨晩は街が兵士だらけで家に帰る間に４回も呼び止められたよ。,
89344,mp4010_05,3916,3426,3901,,,,unmatched,evo,大会都结束了，士兵的数量却一点也没有减少。,俺ってそんなに怪しい顔してるのかなぁ……,
89345,mp4010_05,3918,3390,3903,,,,unmatched,evo,女王陛下又身体欠佳，真是不吉利啊。,何だか自信なくしちゃうよ。,
89346,mp4010_05,3926,3414,3914,,,,unmatched,evo,昨天晚上满街都是士兵，回家的时候被他们叫住了四次。,昨晩は街が兵士だらけで家に帰る間に４回も呼び止められたよ。,
89347,mp4010_05,3928,3426,3916,,,,unmatched,evo,难道我的样子真的像坏人吗……,俺ってそんなに怪しい顔してるのかなぁ……,
89348,mp4010_05,3940,3450,3918,,,,unmatched,evo,都没自信了。,リベール通信のスクープ以来リシャール大佐の人気は相当なものだと思うよ。,
89349,mp4010_05,3942,3462,3926,,,,unmatched,evo,昨天晚上满街都是士兵，回家的时候被他们叫住了四次。,若い人にも年配の人にも彼を支持する人は多いんだ。,
89350,mp4010_05,3951,3486,3928,,,,unmatched,evo,难道我的样子真的像是一个坏人吗……,コーヒーハウス《バラル》の帝国風の朝食もいいんだけど……,
89351,mp4010_05,3953,3498,3940,,,,unmatched,evo,自从利贝尔通信刊登采访以来，理查德上校的人气最近一段时间急剧上升啊。,俺はこの店のリベール風モーニングのほうが好みだな。,
89352,mp4010_05,3964,3576,3942,,,,unmatched,evo,无论男女老少，支持他的人都很多。,いやいや、まさかボースを騒がせた空賊たちが大会に出てくるなんてね。,
89353,mp4010_05,3966,3540,3951,,,,unmatched,evo,虽然咖啡厅《巴拉尔》的帝国风味早点也很不错……,なかなかの実力者だし面白いとは思うんだけど……,
89354,mp4010_05,3968,3588,3953,,,,unmatched,evo,但我更喜欢这个店里的利贝尔风味的早餐。,服役中なのにいいのかなぁ。,
89355,mp4010_05,3976,3576,3964,,,,unmatched,evo,哎呀呀，没想到在柏斯作乱的空贼也参加了大会。,いやいや、まさかボースを騒がせた空賊たちが大会に出てくるなんてね。,
89356,mp4010_05,3978,3588,3966,,,,unmatched,evo,虽然他们的确很有实力，比赛也很有意思……,服役中なのにいいのかなぁ。,
89357,mp4010_05,3992,3666,3968,,,,unmatched,evo,可他们不用在监狱服刑吗……？,武術大会はもともと軍人たちが試技や演習を披露する場だったんだ。,
89358,mp4010_05,3994,3630,3976,,,,unmatched,evo,哎呀呀，没想到在柏斯作乱的空贼也参加了大会。,今の女王さまが即位してから一般の人たちも観戦できる開かれたイベントになったのさ。,
