RemakeVoiceID,RemakeScenaScriptFilename,RemakeScenaScriptLineno,RemakeScenaScriptAddStructLineno,RemakeScenaScriptTranslationLineno,RemakeScenaScriptTranslationAddStructLineno,OldScriptId,OldVoiceFilename,MatchType,RemakeVoiceCategory,RemakeVoiceTranslation,RemakeVoiceText,OldVoiceText
51371,mp0000_ev,15851,15757,15851,15757,,,unmatched,evo,飞行猫啊……动作相当敏捷呢。,飛び猫か……結構すばしっこいのよね。,
51372,mp0000_ev,15854,15775,15854,15775,,,unmatched,evo,是啊，千万别看它的外表就掉以轻心。,ああ、見かけによらず油断できない相手だ。,
51373,mp0000_ev,15856,15787,15856,15787,,,unmatched,evo,要仔细观察敌人的动作来战斗。,敵の動きをよく見つつ戦おう。,
51501,mp0000_ev,25290,24796,25290,24796,,,unmatched,evo,好～了，那么正式开始工作吧。,さ～て、それじゃあ本格的にお仕事開始ね。,
51502,mp0000_ev,25292,24808,25292,24808,,,unmatched,evo,要不要马上从西口出去前往农场？,さっそく西口を出て農園に向かっちゃう？,
51503,mp0000_ev,25301,24862,25301,24862,,,unmatched,evo,那样也不错……,それもいいけど……,
51504,mp0000_ev,25303,24874,25303,24874,,,unmatched,evo,不过还有其他工作，也可以到各处转转看。,他にも仕事はあるし、色んな場所を回ってみてもいいかもね。,
51505,mp0000_ev,25308,24904,25308,24904,,,unmatched,evo,也要和魔兽战斗累积经验，并且把战术导力器进一步强化比较好。,魔獣との戦闘をこなしながら、戦術オーブメントも更に強化した方がいいだろうし。,
51506,mp0000_ev,25320,24976,25320,24976,,,unmatched,evo,确实，不光要解锁插槽，结晶回路也需要多准备一些……,確かに、スロットの開封もそうだしクオーツももう少し必要か……,
51507,mp0000_ev,25322,24988,25322,24988,,,unmatched,evo,也想增加一些可以使用的魔法种类。,使えるアーツの種類も増やしておきたいかも。,
51508,mp0000_ev,25334,25060,25334,25060,,,unmatched,evo,嗯，还有别忘了准备武器和防具。,うん、それに武器や防具を整えることも忘れずにね。,
51509,mp0000_ev,25341,25102,25341,25102,,,unmatched,evo,等米拉攒够了，就去埃尔格先生那里采购吧。,ミラが溜まったら、エルガーさんの所で調達しよう。,
51510,mp0000_ev,25356,,25356,25192,35131,ch0010080798,normalized,evo,好！,オッケー！,オッケー！
51511,mp0000_ev,25358,25204,25358,25204,,,unmatched,evo,为此也得多多打倒魔兽，不断地完成委托才行！,そのためにもどんどん魔獣を倒して、じゃんじゃん依頼をこなさないと！,
51512,mp0000_ev,25885,,25885,25736,7266,ch0010001348,normalized,evo,呼～无论什么时候来，这里都这么宁静啊。,はあ～。いつ来ても、のどかな場所よね。,はあ〜。いつ来ても、のどかな場所よね。
51513,mp0000_ev,25888,,25888,25754,7267,ch0010001349,blockwise,evo,都有点不相信魔兽来这里搞过破坏……,魔獣に襲われてるなんてちょっと信じられないけど……,魔獣に襲われてるなんてちょっと信じられないけど……
51514,mp0000_ev,25891,,25891,25772,7268,ch0020001350,blockwise,evo,现在的确感觉不到魔兽的气息……,たしかに今はそれらしい気配は感じないな……,たしかに今はそれらしい気配は感じないな……
51515,mp0000_ev,25893,,25893,25784,7269,ch0020001351,blockwise,evo,总之，我们先去了解情况吧。,とにかく事情を聞いてみよう。,とにかく事情を聞いてみよう。
51516,mp0000_ev,25896,,25896,25802,7270,ch0010001352,blockwise,evo,缇欧会在哪里呢？,ティオ、どこにいるのかな？,ティオ、どこにいるのかな？
51523,mp0000_ev,26778,26327,26778,26327,,,unmatched,evo,两人向缇欧说明了自己代替卡西乌斯执行任务的情况。,カシウスの仕事を代わりに引き受けた事を説明した。,
51540,mp0000_ev,27890,,27890,27801,7334,ch0010001466,blockwise,evo,……魔兽好像不在这里。,……魔獣、いないみたいね。,……魔獣、いないみたいね。
51541,mp0000_ev,27893,,27893,27819,7335,ch0020001467,blockwise,evo,是啊，去别处看看吧。,そうだね、他を回ってみよう。,そうだね、他を回ってみよう。
51542,mp0000_ev,28355,,28355,28125,7557,ch0020001468,blockwise,evo,…………………………,…………………………,…………………………
51543,mp0000_ev,28357,,28357,28137,7558,ch0020001469,blockwise,evo,果然不在这里面。,さすがに中には入り込んでないか。,さすがに中には入り込んでないか。
51544,mp0000_ev,28359,,28359,28149,7559,ch0010001470,blockwise,evo,不过，这里的气氛真好啊，导力器的光芒有种梦幻般的感觉。,でも、オーブメントの光が幻想的な雰囲気でイイ感じよね。,でも、オーブメントの光が幻想的な雰囲気でイイ感じよね。
51545,mp0000_ev,28381,,28381,28233,7560,ch0010001471,blockwise,evo,感觉有点赚到了呢♪,ちょっと得した気分かも♪,ちょっと得した気分かも❤
51546,mp0000_ev,28384,,28384,28251,7561,ch0020001472,blockwise,evo,你还真悠闲啊……,ノンキだなぁ、君って……,ノンキだなぁ、君って……
51547,mp0000_ev,28387,,28387,28269,7562,ch0010001473,blockwise,evo,是你太不解风情了！,ヨシュアがトーヘンボクすぎるの！,ヨシュアがトーヘンボクすぎるの！
51548,mp0000_ev,28921,,28921,28621,7336,ch0010001474,blockwise,evo,真安静啊……只能听到虫鸣声。,静かね～……虫の音しか聞こえないわ。,静かね〜……虫の音しか聞こえないわ。
51549,mp0000_ev,28923,,28923,28633,7337,ch0020001475,blockwise,evo,看来那些魔兽还没有进入农场。,まだ農園の中に入ってきてないみたいだね。,まだ農園の中に入ってきてないみたいだね。
51550,mp0000_ev,28925,,28925,28645,7338,ch0020001476,blockwise,evo,可能是因为我们在这里巡逻吧。,僕たちを警戒してるのかな。,僕たちを警戒してるのかな。
51551,mp0000_ev,28933,,28933,28693,7339,ch0010001477,blockwise,evo,对了，约书亚。你小时候有没有听说过这句话？,ねえねえ、ヨシュア。小さいころ聞かされなかった？,ねえねえ、ヨシュア。小さいころ聞かされなかった？
51552,mp0000_ev,28935,,28935,28705,7340,ch0010001478,blockwise,evo,“婴儿是从菜地中长出来的”。,赤ちゃんってキャベツ畑で生まれるって。,赤ちゃんってキャベツ畑で生まれるって。
51553,mp0000_ev,28938,,28938,28723,7341,ch0020001479,blockwise,evo,你的思维总是这么跳跃啊……,また唐突だね……,また唐突だね……
51554,mp0000_ev,28940,,28940,28735,7342,ch0020001480,blockwise,evo,我听过的说法是，长着银色翅膀的天使把婴儿送来。,僕は、銀の翼を持つ天使が届けてくれるって聞かされたけど。,僕は、銀の翼を持つ天使が届けてくれるって聞かされたけど。
51555,mp0000_ev,28942,,28942,28747,7343,ch0010001481,blockwise,evo,嗯……不同的地区流传着不同的说法啊。,ふーん、土地によって違うのね。,ふーん、土地によって違うのね。
51556,mp0000_ev,28947,,28947,28777,7344,ch0010001482,blockwise,evo,…………………………,…………………………,…………………………
51557,mp0000_ev,28949,,28949,28789,7345,ch0020001483,blockwise,evo,…………………………,…………………………,…………………………
51558,mp0000_ev,28959,,28959,28849,7346,ch0020001484,blockwise,evo,我们继续巡逻吧。,見回り、続けようか？,見回り、続けようか？
51559,mp0000_ev,28961,,28961,28861,7347,ch0010001485,blockwise,evo,嗯。,うん。,うん。
51560,mp0000_ev,30195,,30195,29271,7348,ch0010001494,blockwise,evo,啊……,あっ……,あっ……
51561,mp0000_ev,30251,29559,30251,29559,,,unmatched,evo,咪呜！,みゃおんっ！,
51562,mp0000_ev,30321,,30321,29931,7358,ch0010001488,blockwise,evo,啊，逃跑了！,あっ、逃げたっ！,あっ、逃げたっ！
51563,mp0000_ev,30324,,30324,29949,7359,ch0010001489,blockwise,evo,喂！给我站住！,待ちなさいよ、こらあっ！,待ちなさいよ、こらあっ！
51564,mp0000_ev,30328,,30328,29973,7360,ch0020001490,blockwise,evo,气息还没有消失……,まだ気配は消えていない……,まだ気配は消えていない……
51565,mp0000_ev,30330,,30330,29985,7361,ch0020001491,blockwise,evo,它应该还在农场内。,農園内に留まっているみたいだ。,農園内に留まっているみたいだ。
51566,mp0000_ev,30353,,30353,30075,7362,ch0010001492,blockwise,evo,哼，胆子真不小……,ふん、上等じゃない……,ふん、上等じゃない……
51567,mp0000_ev,30355,,30355,30087,7363,ch0010001493,blockwise,evo,我一定要抓住它！,絶対に捕まえてやるんだから！,絶対に捕まえてやるんだから！
51568,mp0000_ev,31218,,31218,30923,7426,ch0020001503,exact,evo,真可惜，被它发现了。,残念、気付かれたね。,残念、気付かれたね。
51569,mp0000_ev,31221,,31221,30941,7427,ch0010001504,normalized,evo,唔～下次一定要抓到！,む～っ、今度こそ捕まえるっ！,む〜っ、今度こそ捕まえるっ！
51570,mp0000_ev,31228,30959,31228,30959,,,unmatched,evo,啊……,ああっ……,
51571,mp0000_ev,31231,,31231,30977,7414,ch0020001515,blockwise,evo,真可惜啊。,惜しかったね。,惜しかったね。
51572,mp0000_ev,31233,,31233,30989,7415,ch0020001516,blockwise,evo,我们不妨在它原地蹦跳时从后方靠近，然后上前捕捉。,とにかく飛び跳ねている時に背後から近づいて捕まえてみよう。,とにかく飛び跳ねている時に背後から近づいて捕まえてみよう。
51573,mp0000_ev,32153,,32153,31736,7416,ch0010001505,blockwise,evo,又、又逃跑了！？,ま、またぁ！？,ま、またぁ！？
51574,mp0000_ev,32155,,32155,31748,7417,ch0010001506,blockwise,evo,胖得像个球，为何却那么灵活啊？,丸っこい体のくせになによ、あの素早い動きはっ？,丸っこい体のくせになによ、あの素早い動きはっ？
51575,mp0000_ev,32158,,32158,31766,7418,ch0020001507,blockwise,evo,的确很灵活，而且警惕性极强。,たしかに素早いけどそれ以上にカンが鋭そうだ。,たしかに素早いけどそれ以上にカンが鋭そうだ。
51576,mp0000_ev,32160,,32160,31778,7419,ch0020001508,blockwise,evo,不过，还是有破绽的。,でも、付け入る隙はあるよ。,でも、付け入る隙はあるよ。
51577,mp0000_ev,32164,,32164,31802,7420,ch0010001509,blockwise,evo,破绽？,付け入るスキ？,付け入るスキ？
51578,mp0000_ev,32176,,32176,31874,7421,ch0020001510,blockwise,evo,这种魔兽在蹦跳的时候，会暂时放松警惕。,あの魔獣、飛び跳ねている時は警戒が弱まる習性があるみたいだ。,あの魔獣、飛び跳ねている時は警戒が弱まる習性があるみたいだ。
51579,mp0000_ev,32178,,32178,31886,7422,ch0020001511,blockwise,evo,我们只要把握这个时机，从后方接近，应该就能抓住它了。,その隙を狙って、背後から近づければ何とか捕まえられるかもしれない。,その隙を狙って、背後から近づければ何とか捕まえられるかもしれない。
51580,mp0000_ev,32181,,32181,31904,7423,ch0010001512,blockwise,evo,原来如此……在它跳跃时从后方接近啊。,なるほど……飛び跳ねてる最中に背後からね。,なるほど……飛び跳ねてる最中に背後からね。
51581,mp0000_ev,32183,,32183,31916,7424,ch0010001513,blockwise,evo,嗯，试试看吧！,うん、試してみるわ！,うん、試してみるわ！
51582,mp0000_ev,32190,,32190,32722,7425,ch0010001502,vector_search (0.95),evo,啊……,ああっ……,ああっ！
51583,mp0000_ev,32193,,32193,32740,7414,ch0020001515,normalized,evo,真可惜啊。,惜しかったね。,惜しかったね。
