RemakeVoiceID,RemakeScenaScriptFilename,RemakeScenaScriptLineno,RemakeScenaScriptAddStructLineno,RemakeScenaScriptTranslationLineno,RemakeScenaScriptTranslationAddStructLineno,OldScriptId,OldVoiceFilename,MatchType,RemakeVoiceCategory,RemakeVoiceTranslation,RemakeVoiceText,OldVoiceText
84200,mp4000,14468,,3481,2653,54251,ch0630121322,blockwise,evo,抱歉抱歉，刚才谈了一点有关老爸的事。,あら……,あら……
84201,mp4000,14470,,3533,2965,54252,ch0630121323,blockwise,evo,让你们久等了，可以开船了。,ヨシュア殿がどうやってここまで来たのか不思議でしたが……,ヨシュア殿がどうやってここまで来たのか不思議でしたが……
84202,mp4000,14472,,3539,3001,54253,ch0630121324,blockwise,evo,好……你们抓紧了！,なるほど、得心がいきました。,なるほど、得心がいきました。
84203,mp4000,14474,,14468,14285,54254,ch0630121325,blockwise,evo,啊……,ふふ、特務兵たちが目を欺かれるのも無理はありませんね。,ふふ、特務兵たちが目を欺かれるのも無理はありませんね。
84204,mp4000,14476,,14470,14297,54255,ch0630121326,blockwise,evo,约书亚能来到这里，原本还让我感到很不可思议。,……エステルさん、ヨシュア殿、今日は久々に楽しい時を過ごせました。,……エステルさん、ヨシュア殿、今日は久々に楽しい時を過ごせました。
84205,mp4000,14478,,14472,14309,54256,ch0630121327,blockwise,evo,现在一看，总算是彻底明白了。,よろしかったら、またわたくしのお茶に付き合ってくださいね。,よろしかったら、またわたくしのお茶に付き合ってくださいね。
84206,mp4000,14480,,14474,14321,54257,ch0630121328,blockwise,evo,呵呵，难怪可以骗过那些特务兵。,今度はクローディアやカシウス殿も一緒にみんなでお話しましょう。,今度はクローディアやカシウス殿も一緒にみんなでお話しましょう。
84207,mp4000,14493,,14476,14333,54249,ch0630121329,exact,evo,……艾丝蒂尔、约书亚，我很久没有像今天这么开心了。,エステルさん、ヨシュア殿、今日は久々に楽しい時を過ごせました。,エステルさん、ヨシュア殿、今日は久々に楽しい時を過ごせました。
84208,mp4000,14495,,14478,14345,54256,ch0630121327,exact,evo,如果你们愿意，以后还要再来陪我一起喝茶哦。,よろしかったら、またわたくしのお茶に付き合ってくださいね。,よろしかったら、またわたくしのお茶に付き合ってくださいね。
84209,mp4000,14890,14519,14480,14357,,,unmatched,evo,下次把克萝蒂雅和卡西乌斯先生也叫来，我们一起聊天吧。,いらっしゃいませー！,
84210,mp4000,14892,14531,14493,14411,,,unmatched,evo,艾丝蒂尔、约书亚，我很久没有像今天这么开心了。,さあ、どうぞどうぞ！,
84211,mp4000,14901,14555,14495,14423,,,unmatched,evo,如果你们愿意，以后还要再来陪我一起喝茶哦。,今までいた兵士の代わりに黒い兵士たちが来たのよ。,
84212,mp4000,14903,14567,14890,14519,,,unmatched,evo,欢迎光临～！,何かあったのかしら……,
84213,mp4000,14912,14591,14892,14531,,,unmatched,evo,请慢慢挑选！,武術大会が終わって街も一段落って感じね。,
84214,mp4000,14914,14603,14901,14555,,,unmatched,evo,与之前在这里的士兵不同，新来的是一些黑衣士兵。,女王様の生誕祭が近づけばまた賑やかになるだろうけど……,
84215,mp4000,14916,14615,14903,14567,,,unmatched,evo,发生什么事了吗……,今年はどうなるのかなぁ。,
84216,mp4000,14925,14639,14912,14591,,,unmatched,evo,武术大会结束以后，街上也安静下来了。,うーん、決勝戦くらい見たかったなぁ。,
84217,mp4000,14927,14651,14914,14603,,,unmatched,evo,随着女王陛下的诞生庆典临近，街上应该又会热闹起来的吧……,でも、１人暮らしするためにも頑張って働かなきゃ。,
84218,mp4000,14936,14675,14916,14615,,,unmatched,evo,今年的情况究竟会如何呢？,えっと、こちらのいちごクレープなんてお勧めですよー。,
84219,mp4000,14945,14699,14925,14639,,,unmatched,evo,唔～至少要去看决赛。,この期間のバイトって時給が高めなのよ。,
84220,mp4000,14947,14711,14927,14651,,,unmatched,evo,但为了能独立生活，就必须得努力工作。,そのかわり武術大会を見ることはできないのよね。,
84221,mp4000,14956,14735,14936,14675,,,unmatched,evo,欢迎光临，我这里的草莓可丽饼非常好吃哦，向你们强烈推荐。,いらっしゃいませ！おいしいですよ。,
84222,mp4000,14965,14759,14945,14699,,,unmatched,evo,在这个时期打工，会得到比平时高的工钱。,あーあ、もうちょっと時給上げてくれないかなぁ。,
84223,mp4000,14974,14783,14947,14711,,,unmatched,evo,但代价就是不能去看武术大会了。,そこのお姉さんとお兄さん！,
84224,mp4000,14976,14795,14956,14735,,,unmatched,evo,欢迎光临！很好吃哦。,おいしいクレープはどう？,
84225,mp4000,14985,14819,14965,14759,,,unmatched,evo,哎，就不能涨点工资吗？,私、１人暮らしを始めたくてここでバイトしているのよ。,
84226,mp4000,14987,14831,14974,14783,,,unmatched,evo,那边的哥哥姐姐！,西街区に１軒空き家があるんだけどあそこを狙ってるんだ。,
84227,mp4000,14996,14855,14976,14795,,,unmatched,evo,来一些美味的可丽饼如何？,いらっしゃいませ～！,
84228,mp4000,14998,14867,14985,14819,,,unmatched,evo,我为了独立生活，所以就在这里打工。,どうですか、おいしいですよ！,
84229,mp4000,15429,15022,14987,14831,,,unmatched,evo,西街区有一间正在出售的空房子，我准备把那里买下来。,東街区のアイス屋が大繁盛しているらしいね。,
84230,mp4000,15431,15034,14996,14855,,,unmatched,evo,欢迎～！,偵察に行ってみたらスゴイ行列で買えなかったんだ。,
84231,mp4000,15433,15046,14998,14867,,,unmatched,evo,来尝尝吧，很好吃哦！,よーし、負けてられないぞ！,
84232,mp4000,15442,15070,15429,15022,,,unmatched,evo,东街区的冰激凌小店很受欢迎。,あの黒い兵士たちも王国軍なのか？,
84233,mp4000,15444,15082,15431,15034,,,unmatched,evo,我虽然去侦察过，可排的队太长了，没能买到。,何だか威圧的だしちょっとコワいよなぁ……,
84234,mp4000,15453,15106,15433,15046,,,unmatched,evo,好～我绝对不能输！,生誕祭まではグランセルで屋台をやるつもりなんだ。,
84235,mp4000,15455,15118,15442,15070,,,unmatched,evo,那些黑衣士兵们也是属于王国军的吗？,でも、女王様の病気が治らなきゃ生誕祭も中止だろうなぁ。,
84236,mp4000,15464,15142,15444,15082,,,unmatched,evo,他们很有威慑力，我都有些害怕了……,ふう、今日も１日中いい天気だったな。,
84237,mp4000,15466,15154,15453,15106,,,unmatched,evo,在诞生庆典之前，我打算一直在格兰赛尔摆摊子。,ボース地方のほうも晴れてるのかな。,
84238,mp4000,15475,15178,15455,15118,,,unmatched,evo,不过，女王陛下的病无法痊愈的话，诞生庆典恐怕就要中止了吧。,昨日の夕方あたりから街なかに兵士が増えたねぇ。,
84239,mp4000,15477,15190,15464,15142,,,unmatched,evo,呼，今天天气也很好嘛。,悪いことやってなくても何だか緊張しちまうぜ。,
84240,mp4000,15486,15394,15466,15154,,,unmatched,evo,柏斯地区也应该很晴朗吧。,はい、いらっしゃい！,
84241,mp4000,15488,15226,15475,15178,,,unmatched,evo,昨天从傍晚开始，大街上的士兵就增多了。,おいしいアイス、お１ついかがですか？,
84242,mp4000,15497,15250,15477,15190,,,unmatched,evo,即使不干坏事，看到这种场面也有点紧张呢。,大会は初日からすごく盛り上がったみたいだな。,
84243,mp4000,15499,15262,15486,15394,,,unmatched,evo,您好，欢迎光临！,アリーナの歓声がここまで聞こえてきたよ。,
84244,mp4000,15508,15286,15488,15226,,,unmatched,evo,好吃的冰激凌，要来尝一个吗？,いらっしゃーい！,
84245,mp4000,15510,15298,15497,15250,,,unmatched,evo,大赛从第一天开始就非常热闹了。,大会の応援に疲れた時に甘いものはいかがですかー！,
84246,mp4000,15519,15322,15499,15262,,,unmatched,evo,竞技场里传来的欢呼声连这里都能听见。,ボースも大きな街だと思うけど……,
84247,mp4000,15521,15334,15508,15286,,,unmatched,evo,欢迎光临～！,さすがに王都は人の数もハンパじゃないよなぁ。,
84248,mp4000,15530,15358,15510,15298,,,unmatched,evo,在为大会加油而疲惫的时候，难道不想要来点甜的东西吗！,俺は普段ボースで屋台をやってるんだけど今回は出張で王都に来たんだ。,
84249,mp4000,15532,15370,15519,15322,,,unmatched,evo,我原以为柏斯就很大了……,商売を成功させるためにも色々なところをまわってみたくてね。,
84250,mp4000,15541,15394,15521,15334,,,unmatched,evo,不愧是王都啊，竟然有这么多人。,はい、いらっしゃい！,
84251,mp4000,15543,15406,15530,15358,,,unmatched,evo,我平时在柏斯做生意，这次是来王都出差的。,おひとつ、いかがですか？,
84252,mp4000,16090,15573,15532,15370,,,unmatched,evo,我为了做好买卖而到各个地方去寻找机遇。,ふう、飛行船が止まって商品が届かなかったんだ。,
84253,mp4000,16092,15585,15541,15394,,,unmatched,evo,您好，欢迎光临！,あせったけど何とか間に合ったよ。,
84254,mp4000,16094,15633,15543,15406,,,unmatched,evo,来一个冰激凌怎么样？,今回のトラブルは俺が原因じゃないよな。,
84255,mp4000,16102,15621,16090,15573,,,unmatched,evo,呼，飞行船停运了，商品也就送不过来。,飛行船が止まって商品が届かなかったんだ。,
84256,mp4000,16104,15633,16092,15585,,,unmatched,evo,虽然着急了一段时间，还好最后赶上了。,今回のトラブルは俺が原因じゃないよな。,
84257,mp4000,16116,15657,16094,15633,,,unmatched,evo,这次的麻烦事就不能怪在我头上了。,何だか兵士が多いね……,
84258,mp4000,16118,15669,16102,15621,,,unmatched,evo,飞行船停运了，商品也就送不过来。,ハッ！ま、またトラブルかな？,
84259,mp4000,16127,15693,16104,15633,,,unmatched,evo,这次的麻烦事就不能怪在我头上了。,ああ～っ！タイヤがパンクしてるよ。,
84260,mp4000,16138,15723,16116,15657,,,unmatched,evo,怎么那么多士兵啊……,今日は何もトラブルがなかったよ。,
84261,mp4000,16140,15735,16118,15669,,,unmatched,evo,啊！又、又有什么麻烦了吗？,それはそれで拍子抜けなんだよな。,
84262,mp4000,16142,15783,16127,15693,,,unmatched,evo,啊～！轮胎爆胎啦。,俺の人生はトラブルとともにあるんだなって思ったよ。,
84263,mp4000,16150,15771,16138,15723,,,unmatched,evo,今天没有出现什么麻烦。,トラブルがないとそれはそれで拍子抜けなんだ。,
84264,mp4000,16152,15783,16140,15735,,,unmatched,evo,但这反而让我有些失望。,俺の人生はトラブルとともにあるんだなって思ったよ。,
