RemakeVoiceID,RemakeScenaScriptFilename,RemakeScenaScriptLineno,RemakeScenaScriptAddStructLineno,RemakeScenaScriptTranslationLineno,RemakeScenaScriptTranslationAddStructLineno,OldScriptId,OldVoiceFilename,MatchType,RemakeVoiceCategory,RemakeVoiceTranslation,RemakeVoiceText,OldVoiceText
69347,mp2010_08,473,352,473,352,,,unmatched,evo,我每次来这里，都说只是想随便看看而已……,最初はいつも見るだけって言うけど……,
69348,mp2010_08,475,364,475,364,,,unmatched,evo,结果总会买下不少东西。,結局、買い物するんだよなぁ。,
69349,mp2010_08,483,388,483,388,,,unmatched,evo,说起来，这里的店长真是能说会道……,それにしてもここの店長さんはよくしゃべるよ……,
69350,mp2010_08,485,400,485,400,,,unmatched,evo,自从我们来了之后，就一直讲个不停。,僕らが来てからずっとしゃべってるんだ。,
69351,mp2010_08,631,560,631,560,,,unmatched,evo,难得来一次，光看可不行啊。,せっかく来たんだもの。見るだけならタダじゃない。,
69352,mp2010_08,1508,685,1508,685,,,unmatched,evo,没想到戴尔蒙市长竟然被逮捕了。,まさか、あのダルモア市長が逮捕とはのう。,
69353,mp2010_08,1510,697,1510,697,,,unmatched,evo,卢安的市长可是由戴尔蒙家族代代相传的职位啊……,ルーアンの市長は代々のダルモア家当主が引き継いできたんじゃが……,
69354,mp2010_08,1512,709,1512,709,,,unmatched,evo,戴尔蒙家族没有别的继承人，市长被逮捕之后，就算彻底完了。,跡取りがいないまま市長が逮捕されたということはそれも終わりということじゃな。,
69355,mp2010_08,1514,721,1514,721,,,unmatched,evo,连我这个老家伙都很震惊啊。,わしら古い者には驚きじゃよ。,
69356,mp2010_08,1522,745,1522,745,,,unmatched,evo,哎呀～活了这么久，什么事情都见得多了。,いやはや、長い間生きていると色々なことがあるわい。,
69357,mp2010_08,1524,1177,1524,1177,,,unmatched,evo,哇哈哈！,わっはっはっ！,
69358,mp2010_08,1538,859,1538,859,,,unmatched,evo,在这片广阔的大陆上……生活着很多国家的人们。,この大陸は広い……様々な国に多くの人が暮らしておる。,
69359,mp2010_08,1540,799,1540,871,,,unmatched,evo,以你们的年龄来看，说不定今后有机会去大陆各国巡游。,お前さんたちの年齢ならこれから大陸諸国を巡る機会もあるかもしれんのう。,
69360,mp2010_08,1542,811,1542,811,,,unmatched,evo,与那些地方的人们见面交流是很重要的。,その地に暮らす人に出会い言葉を交わすことは大切じゃぞ。,
69361,mp2010_08,1544,823,1544,823,,,unmatched,evo,只有如此，你们才能成为像我这种胸怀宽广的人。,わしのような懐が広く立派な大人になりたいならな。,
69362,mp2010_08,1546,1177,1546,1177,,,unmatched,evo,哇哈哈！,わっはっはっ！,
69363,mp2010_08,1554,859,1554,859,,,unmatched,evo,在这片广阔的大陆上……生活着很多国家的人们。,この大陸は広い……様々な国に多くの人が暮らしておる。,
69364,mp2010_08,1556,871,1556,871,,,unmatched,evo,以你们的年龄来看，说不定今后有机会去大陆各国巡游。,お前さんたちのような年齢ならこれから大陸諸国を巡る機会もあるかもしれんのう。,
69365,mp2010_08,1570,901,1570,901,,,unmatched,evo,只要看到海，我体内的水手之血就会沸腾。直到如今也是如此。,今でも海を見ると船乗りとしての血がたぎるわい。,
69366,mp2010_08,1572,913,1572,913,,,unmatched,evo,但是，现在的船都用导力器当动力装置了。,じゃが、今では船の動力にオーブメントが使われとるらしいの。,
69367,mp2010_08,1574,973,1574,973,,,unmatched,evo,虽然方便了不少，但总觉得有些失落……,便利になって何よりだが少し寂しい気もするわい……,
69368,mp2010_08,1576,937,1576,937,,,unmatched,evo,呼，我已经上年纪了。,むふ、わしも年をとったということかの。,
69369,mp2010_08,1584,961,1584,961,,,unmatched,evo,现在的船都用导力器当动力装置了。,じゃが、今では船の動力までオーブメントが使われとるらしいの。,
69370,mp2010_08,1586,973,1586,973,,,unmatched,evo,虽然方便了不少，但总觉得有些失落……,便利になって何よりだが少し寂しい気もするわい……,
69371,mp2010_08,1600,1003,1600,1003,,,unmatched,evo,以前的埃雷波尼亚帝国可没有现在这么大。,昔はエレボニア帝国の版図は今ほどではなかった。,
69372,mp2010_08,1602,1015,1602,1015,,,unmatched,evo,经过多场侵略战争，吞并了好几个国家与民族之后，它才成为如今这个大国。,侵略を繰り返しいくつもの国や民族を併合しながら今のような大国になったんじゃ。,
69373,mp2010_08,1604,1027,1604,1027,,,unmatched,evo,在帝国国内，皇家掌握着绝对的权力，直到现在都保持着森严的统治。,国内で皇家は絶対的な権力を持ち今でも厳しい統制をしいておると聞く。,
69374,mp2010_08,1606,1039,1606,1039,,,unmatched,evo,通过那个国家的领土时，连见惯大场面的我都会不自禁地紧张起来。,さしものわしもあの国の領内を通過するときは緊張したもんじゃて。,
69375,mp2010_08,1608,1177,1608,1177,,,unmatched,evo,哇哈哈！,わっはっはっ！,
69376,mp2010_08,1616,1201,1616,1201,,,unmatched,evo,怎么？还想听我的冒险故事吗？,何じゃ、もっとわしの冒険譚が聞きたいのか？,
69377,mp2010_08,1630,1105,1630,1105,,,unmatched,evo,那是我在共和国的海域航行时经历的事情。,あれは共和国の沖を航行していた時のことじゃ。,
69378,mp2010_08,1632,1117,1632,1117,,,unmatched,evo,那个时候的共和国，政治动荡，治安非常不好……,あの頃の共和国はまだ政情が落ち着いておらずとにかく治安が悪くてのう……,
69379,mp2010_08,1634,1129,1634,1129,,,unmatched,evo,突然，载满客人的客船被海盗袭击了。,突如、乗っていた客船が海賊に襲われたんじゃよ。,
